 29569  29569  29569  29569  29569  29569  29569  29569  29569  29569  29569  29569     86     86     86     86     86     86     86     86     86     86     86     86
 18584  18584  18584  18584  18584  18584  18584  18584  18584  18584  18584  18584    910    910    910    910    910    910    910    910    910    910    910    910
-12503 -12503 -12503 -12503 -12503 -12503 -12503 -12503 -12503 -12503 -12503 -12503   4241   4241   4241   4241   4241   4241   4241   4241   4241   4241   4241   4241
 26626  26626  26626  26626  26626  26626  26626  26626  26626  26626  26626  26626  11194  11194  11194  11194  11194  11194  11194  11194  11194  11194  11194  11194
  3471   3471   3471   3471   3471   3471   3471   3471   3471   3471   3471   3471  17865  17865  17865  17865  17865  17865  17865  17865  17865  17865  17865  17865
  1210   1210   1210   1210   1210   1210   1210   1210   1210   1210   1210   1210  16614  16614  16614  16614  16614  16614  16614  16614  16614  16614  16614  16614
-14474 -14474 -14474 -14474 -14474 -14474 -14474 -14474 -14474 -14474 -14474 -14474   7380   7380   7380   7380   7380   7380   7380   7380   7380   7380   7380   7380
-19212 -19212 -19212 -19212 -19212 -19212 -19212 -19212 -19212 -19212 -19212 -19212   1096   1096   1096   1096   1096   1096   1096   1096   1096   1096   1096   1096
 29211  29211  29211  29211  29211  29211  29211  29211  29211  29211  29211  29211   2355   2355   2355   2355   2355   2355   2355   2355   2355   2355   2355   2355
-20155 -20155 -20155 -20155 -20155 -20155 -20155 -20155 -20155 -20155 -20155 -20155    256    256    256    256    256    256    256    256    256    256    256    256
 17914  17914  17914  17914  17914  17914  17914  17914  17914  17914  17914  17914  -9533  -9533  -9533  -9533  -9533  -9533  -9533  -9533  -9533  -9533  -9533  -9533
-16354 -16354 -16354 -16354 -16354 -16354 -16354 -16354 -16354 -16354 -16354 -16354 -11405 -11405 -11405 -11405 -11405 -11405 -11405 -11405 -11405 -11405 -11405 -11405
  5115   5115   5115   5115   5115   5115   5115   5115   5115   5115   5115   5115   2289   2289   2289   2289   2289   2289   2289   2289   2289   2289   2289   2289
  9084   9084   9084   9084   9084   9084   9084   9084   9084   9084   9084   9084  11960  11960  11960  11960  11960  11960  11960  11960  11960  11960  11960  11960
  2328   2328   2328   2328   2328   2328   2328   2328   2328   2328   2328   2328   2612   2612   2612   2612   2612   2612   2612   2612   2612   2612   2612   2612
-12931 -12931 -12931 -12931 -12931 -12931 -12931 -12931 -12931 -12931 -12931 -12931  -8741  -8741  -8741  -8741  -8741  -8741  -8741  -8741  -8741  -8741  -8741  -8741
 17350  17350  17350  17350  17350  17350  17350  17350  17350  17350  17350  17350  -2612  -2612  -2612  -2612  -2612  -2612  -2612  -2612  -2612  -2612  -2612  -2612
-15286 -15286 -15286 -15286 -15286 -15286 -15286 -15286 -15286 -15286 -15286 -15286   9355   9355   9355   9355   9355   9355   9355   9355   9355   9355   9355   9355
